2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52220 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52195 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52267 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52194 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52266 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52193 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52265 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52192 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52191 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52268 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52190 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52188 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52189 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52178 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.99ms |     [::1]:52205 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52177 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52186 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52172 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52185 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52171 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52184 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52170 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52183 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.03ms |     [::1]:52173 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52179 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.10ms |     [::1]:52269 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.13ms |     [::1]:52182 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.05ms |     [::1]:52174 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.14ms |     [::1]:52270 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52272 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.16ms |     [::1]:52181 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.11ms |     [::1]:52175 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52275 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.17ms |     [::1]:52176 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.23ms |     [::1]:52180 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.09ms |     [::1]:52273 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.12ms |     [::1]:52274 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.18ms |     [::1]:52271 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52277 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52278 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.09ms |     [::1]:52276 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52280 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52279 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.05ms |     [::1]:52282 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.08ms |     [::1]:52281 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52289 | GET /api/cache
